TUCASEID,TEAGE,TESEX,num_children,year,TUDIARYDAY,TUDIARYDATE,employed,annual_income,child_care_duration,household_task_duration,GESTFIPS,GTMETSTA,race,income_level
20100101100045,20,1,1,2010,3,2010-01-26,1,1560000.0,6.782329983125268,7.745966692414834,17,1,White,
20100101100557,33,1,1,2010,1,2010-01-31,1,3120000.0,13.416407864998739,5.291502622129181,34,1,White,3.0
20100101100603,48,2,2,2010,1,2010-01-24,1,3805880.0,5.477225575051661,14.142135623730951,45,1,White,
20100101100712,41,2,3,2010,1,2010-01-24,1,699270.0,3.872983346207417,7.745966692414834,6,1,White,1.0
20100101100837,48,2,2,2010,1,2010-01-24,0,0.0,7.745966692414834,16.61324772583615,39,1,White,
20100101100890,37,1,1,2010,7,2010-01-30,1,4799990.0,12.449899597988733,3.1622776601683795,6,1,Asian,5.0
20100101100920,42,2,1,2010,7,2010-01-30,1,1439984.0,0.0,14.66287829861518,40,1,White,3.0
20100101100937,40,2,2,2010,1,2010-01-24,1,2197650.0,7.874007874011811,9.219544457292887,39,1,White,3.0
20100101100986,40,1,2,2010,7,2010-01-30,1,,0.0,0.0,2,2,White,3.0
20100101101001,41,2,2,2010,5,2010-01-28,1,,15.394804318340652,10.723805294763608,6,1,White,5.0
20100101101028,45,1,2,2010,2,2010-01-25,1,2470000.0,0.0,17.175564037317667,9,1,White,3.0
20100101101083,40,2,1,2010,6,2010-01-29,1,2499978.0,0.0,20.493901531919196,8,1,White,
20100101101097,48,1,1,2010,3,2010-01-26,1,,1.0,7.416198487095663,48,1,White,5.0
20100101101101,50,1,2,2010,3,2010-01-26,1,,0.0,13.416407864998739,12,1,White,3.0
20100101101122,31,2,2,2010,5,2010-01-28,1,1899976.0,10.246950765959598,5.916079783099616,55,1,White,
20100101101140,33,2,3,2010,7,2010-01-30,0,0.0,17.86057109949175,8.18535277187245,39,1,White,3.0
20100101101154,41,1,1,2010,7,2010-01-30,1,,5.477225575051661,8.366600265340756,21,2,White,2.0
20100101101194,37,1,1,2010,1,2010-01-31,1,,14.142135623730951,0.0,25,1,White,
20100101101206,51,1,1,2010,7,2010-01-30,1,,0.0,0.0,53,1,White,5.0
20100101101255,42,2,1,2010,5,2010-01-28,1,1237600.0,5.477225575051661,13.416407864998739,19,2,White,3.0
20100101101313,41,1,3,2010,3,2010-01-26,1,2860000.0,11.61895003862225,7.745966692414834,36,1,White,4.0
20100101101317,30,2,2,2010,3,2010-01-26,1,1979978.0,7.416198487095663,2.8284271247461903,48,1,White,3.0
20100101101332,36,1,1,2010,1,2010-01-24,0,0.0,0.0,16.431676725154983,17,1,White,
20100101101398,38,2,2,2010,7,2010-01-30,0,0.0,6.708203932499369,3.1622776601683795,39,1,White,1.0
20100101101434,44,2,1,2010,1,2010-01-24,1,624000.0,16.186414056238647,16.431676725154983,13,2,White,2.0
20100101101486,35,2,1,2010,1,2010-01-31,0,0.0,0.0,17.320508075688775,5,2,White,2.0
20100101101507,32,1,1,2010,1,2010-01-24,1,7499986.0,19.364916731037084,0.0,25,1,White,
20100101101555,32,2,1,2010,2,2010-01-25,1,2159976.0,11.045361017187261,11.135528725660043,8,1,White,3.0
20100101101584,38,1,2,2010,7,2010-01-30,1,5200000.0,5.477225575051661,13.601470508735444,25,1,White,4.0
20100101101659,37,2,2,2010,5,2010-01-28,1,,20.688160865577203,10.0,36,1,White,4.0
20100101101671,40,1,2,2010,1,2010-01-24,1,3999996.0,0.0,7.745966692414834,34,1,White,3.0
20100101101742,41,2,2,2010,7,2010-01-30,1,2925000.0,14.142135623730951,12.449899597988733,37,1,White,2.0
20100101101758,41,1,2,2010,1,2010-01-24,1,1537276.0,0.0,15.491933384829668,16,1,White,3.0
20100101101777,39,2,2,2010,1,2010-01-31,1,2799992.0,4.47213595499958,10.0,39,2,White,4.0
20100101101788,36,2,2,2010,1,2010-01-31,1,2099994.0,13.784048752090222,13.416407864998739,27,1,White,3.0
20100101101815,38,2,2,2010,7,2010-01-30,1,4499976.0,9.486832980505138,10.954451150103322,19,1,White,5.0
20100101101897,56,1,2,2010,7,2010-01-30,0,0.0,0.0,0.0,13,2,White,1.0
20100101101931,48,2,1,2010,2,2010-01-25,1,7499986.0,9.219544457292887,10.0,34,1,White,5.0
20100101101947,26,2,1,2010,4,2010-01-27,1,806260.0,9.327379053088816,10.954451150103322,49,1,White,2.0
20100101101949,31,2,4,2010,1,2010-01-24,1,1560000.0,11.832159566199232,9.486832980505138,54,1,White,3.0
20100101101965,30,2,2,2010,7,2010-01-30,0,0.0,10.816653826391969,13.784048752090222,55,1,White,3.0
20100101101977,34,1,2,2010,4,2010-01-27,1,,8.94427190999916,0.0,23,1,White,4.0
20100101102107,39,2,3,2010,1,2010-01-31,1,707200.0,0.0,20.493901531919196,42,1,White,3.0
20100101102162,51,1,1,2010,7,2010-01-30,1,1924000.0,0.0,0.0,42,2,Black,4.0
20100101102211,28,2,4,2010,1,2010-01-31,0,0.0,0.0,12.84523257866513,4,1,White,2.0
20100101102305,38,2,1,2010,1,2010-01-31,1,3499990.0,7.0710678118654755,16.583123951777,55,1,White,3.0
20100101102331,32,1,1,2010,7,2010-01-30,1,1649986.0,22.47220505424423,11.789826122551595,51,1,White,3.0
20100101102404,29,1,2,2010,7,2010-01-30,0,0.0,12.24744871391589,13.96424004376894,8,1,White,5.0
20100101102422,43,2,2,2010,1,2010-01-31,1,1249976.0,0.0,3.872983346207417,26,1,White,3.0
20100101102457,36,2,3,2010,1,2010-01-24,1,1979978.0,0.0,7.745966692414834,21,2,White,3.0
20100101102458,33,2,3,2010,1,2010-01-24,1,1216800.0,3.1622776601683795,8.94427190999916,53,1,White,3.0
20100101102492,32,2,4,2010,1,2010-01-31,1,520000.0,15.165750888103101,16.431676725154983,36,2,White,2.0
20100101102499,34,1,4,2010,1,2010-01-31,1,4499976.0,11.61895003862225,15.491933384829668,36,1,White,3.0
20100110090816,40,1,1,2010,1,2010-01-03,1,962000.0,0.0,0.0,22,1,White,3.0
20100110092050,38,1,3,2010,7,2010-01-02,1,2600000.0,0.0,26.457513110645905,22,1,White,4.0
20100111090095,37,1,4,2010,1,2010-01-10,1,4999982.0,0.0,10.954451150103322,37,2,White,3.0
20100111090659,39,1,2,2010,7,2010-01-09,1,3185000.0,0.0,0.0,26,1,White,2.0
20100111090764,27,2,2,2010,7,2010-01-09,0,0.0,12.041594578792296,15.968719422671311,36,1,Black,2.0
20100111090803,38,1,1,2010,4,2010-01-06,1,7499986.0,8.94427190999916,0.0,33,1,White,5.0
20100111090822,38,2,2,2010,4,2010-01-06,1,1984996.0,3.4641016151377544,5.0,53,1,White,4.0
20100111090881,40,1,3,2010,1,2010-01-17,0,0.0,0.0,5.477225575051661,17,1,White,2.0
20100111090884,39,2,4,2010,5,2010-01-21,0,0.0,12.36931687685298,11.532562594670797,25,1,White,
20100111090896,27,2,2,2010,2,2010-01-04,1,2288000.0,6.708203932499369,7.745966692414834,6,1,White,2.0
20100111090897,51,2,3,2010,7,2010-01-09,1,1170000.0,16.431676725154983,14.491376746189438,36,1,White,4.0
20100111090898,31,2,2,2010,1,2010-01-03,1,1331200.0,0.0,18.16590212458495,17,1,White,2.0
20100111090921,37,2,2,2010,7,2010-01-02,1,910000.0,8.94427190999916,8.94427190999916,6,1,White,
20100111090973,23,2,2,2010,6,2010-01-01,0,0.0,0.0,15.491933384829668,18,1,White,
20100111091055,36,2,3,2010,5,2010-01-14,1,719992.0,13.490737563232042,12.041594578792296,20,2,White,3.0
20100111091059,50,2,2,2010,5,2010-01-07,1,3250000.0,12.041594578792296,8.94427190999916,45,1,White,5.0
20100111091119,40,2,2,2010,5,2010-01-14,1,4399980.0,4.47213595499958,6.324555320336759,55,1,White,4.0
20100111091146,36,1,3,2010,5,2010-01-28,1,,6.324555320336759,5.656854249492381,49,1,White,
20100111091186,43,2,2,2010,1,2010-01-17,1,,5.916079783099616,0.0,4,1,White,3.0
20100111091314,37,2,2,2010,1,2010-01-03,1,612950.0,11.61895003862225,15.748015748023622,27,1,White,3.0
20100111091397,47,2,1,2010,6,2010-01-22,0,0.0,10.0,19.493588689617926,36,1,White,2.0
20100111091405,55,2,1,2010,5,2010-01-07,1,499980.0,0.0,9.486832980505138,34,1,White,3.0
20100111091437,59,1,4,2010,5,2010-01-14,1,2249988.0,9.486832980505138,0.0,12,2,White,2.0
20100111091525,45,2,3,2010,4,2010-01-20,1,4749992.0,2.0,0.0,48,1,White,5.0
20100111091561,37,1,2,2010,4,2010-01-27,1,2080000.0,6.708203932499369,12.24744871391589,51,1,White,3.0
20100111091591,31,2,6,2010,6,2010-01-01,1,,3.872983346207417,14.317821063276353,5,1,White,3.0
20100111091646,30,1,2,2010,3,2010-01-12,1,7499986.0,6.855654600401044,5.477225575051661,48,1,White,5.0
20100111091677,29,1,2,2010,1,2010-01-03,1,1300000.0,0.0,5.477225575051661,17,1,White,3.0
20100111091734,39,2,2,2010,3,2010-01-12,0,0.0,8.660254037844387,0.0,48,2,White,2.0
20100111091816,44,2,1,2010,3,2010-01-12,1,,0.0,10.246950765959598,31,1,White,3.0
20100111091822,22,1,1,2010,4,2010-01-06,0,0.0,12.84523257866513,5.477225575051661,5,1,Black,
20100111091823,45,1,3,2010,7,2010-01-16,1,3749980.0,4.58257569495584,28.160255680657446,39,1,White,4.0
20100111091824,49,2,1,2010,7,2010-01-16,1,1287780.0,0.0,11.61895003862225,24,1,White,4.0
20100111091870,47,1,2,2010,6,2010-01-01,1,,9.486832980505138,0.0,53,1,White,5.0
20100111091879,50,1,1,2010,3,2010-01-05,1,2860000.0,0.0,5.477225575051661,25,1,White,
20100111091912,23,1,1,2010,5,2010-01-07,1,815100.0,0.0,10.954451150103322,6,1,White,1.0
20100111091948,21,2,2,2010,1,2010-01-03,0,0.0,18.05547008526779,11.40175425099138,48,1,White,1.0
20100111092062,46,2,2,2010,5,2010-01-14,1,2999984.0,0.0,8.366600265340756,53,1,White,4.0
20100111092105,32,1,2,2010,5,2010-01-14,1,3250000.0,0.0,8.94427190999916,21,2,White,2.0
20100111092114,42,1,4,2010,1,2010-01-10,1,,0.0,13.416407864998739,39,1,White,
20100111092152,35,1,3,2010,6,2010-01-15,1,2912000.0,0.0,0.0,6,1,White,3.0
20100111092211,41,2,1,2010,5,2010-01-28,0,0.0,9.486832980505138,5.477225575051661,13,1,Black,1.0
20100111092300,37,1,4,2010,3,2010-01-12,1,2839200.0,9.219544457292887,10.246950765959598,29,1,White,3.0
20100111092324,35,2,2,2010,5,2010-01-07,1,4499976.0,19.87460691435179,14.560219778561036,25,1,White,5.0
20100111092402,21,2,1,2010,1,2010-01-10,0,0.0,7.745966692414834,17.320508075688775,51,1,White,1.0
20100111092432,37,1,1,2010,7,2010-01-09,1,3120000.0,0.0,0.0,27,1,White,3.0
20100111092446,34,2,2,2010,6,2010-01-08,0,0.0,9.055385138137417,11.090536506409418,39,1,White,2.0
20100111092488,51,1,2,2010,6,2010-01-08,1,7499986.0,3.1622776601683795,6.708203932499369,24,1,White,5.0
20100111092522,49,1,2,2010,5,2010-01-07,1,3120000.0,5.0,4.47213595499958,6,1,White,4.0
20100112090017,41,1,1,2010,2,2010-01-18,1,1690000.0,0.0,0.0,48,2,White,2.0
20100112090025,24,2,1,2010,7,2010-01-16,1,585000.0,12.041594578792296,13.228756555322953,45,2,White,1.0
20100112090058,37,1,1,2010,7,2010-01-09,1,1115920.0,5.0,0.0,13,2,White,3.0
20100112090150,31,1,1,2010,1,2010-01-10,0,0.0,10.344080432788601,11.958260743101398,5,2,White,2.0
20100112090152,48,1,3,2010,5,2010-01-21,1,4420000.0,8.94427190999916,3.1622776601683795,53,1,White,3.0
20100112090506,38,1,1,2010,3,2010-01-05,0,0.0,10.63014581273465,12.68857754044952,36,1,White,3.0
20100112090517,47,1,3,2010,2,2010-01-04,1,416000.0,14.38749456993816,7.745966692414834,48,1,White,3.0
20100112090519,23,1,1,2010,7,2010-01-09,0,0.0,0.0,0.0,48,1,White,2.0
20100112090534,32,2,1,2010,1,2010-01-24,0,0.0,0.0,5.477225575051661,13,1,Black,2.0
20100112090536,39,1,2,2010,5,2010-01-07,1,,10.583005244258363,6.244997998398398,44,1,White,4.0
20100112090537,37,2,3,2010,7,2010-01-16,0,0.0,0.0,13.416407864998739,48,1,White,3.0
20100112090542,38,1,2,2010,3,2010-01-19,0,0.0,0.0,8.94427190999916,37,2,White,1.0
20100112090545,31,2,1,2010,1,2010-01-10,0,0.0,12.24744871391589,7.745966692414834,17,1,White,4.0
20100112090567,38,2,3,2010,1,2010-01-31,1,1123200.0,14.832396974191326,11.045361017187261,51,1,Asian,5.0
20100112090576,25,1,4,2010,7,2010-01-30,1,2039986.0,7.416198487095663,16.278820596099706,53,2,White,2.0
20100112090582,23,2,1,2010,7,2010-01-16,0,0.0,8.94427190999916,7.745966692414834,40,1,White,3.0
20100112090583,35,2,3,2010,1,2010-01-24,1,585000.0,10.488088481701515,20.248456731316587,39,1,White,3.0
20100112090620,42,2,1,2010,7,2010-01-02,1,,0.0,17.578395831246947,19,2,White,2.0
20100112090625,65,1,2,2010,3,2010-01-19,1,,3.1622776601683795,0.0,53,1,White,3.0
20100112090630,43,1,4,2010,2,2010-01-25,1,,10.488088481701515,5.916079783099616,13,1,White,5.0
20100112090671,35,1,2,2010,1,2010-01-10,1,2899988.0,10.246950765959598,10.954451150103322,41,1,White,3.0
20100112090687,26,1,1,2010,7,2010-01-16,1,3250000.0,0.0,7.745966692414834,6,1,Asian,3.0
20100112090692,35,1,1,2010,5,2010-01-14,1,4999982.0,12.24744871391589,4.47213595499958,6,1,White,4.0
20100112090728,47,1,2,2010,1,2010-01-17,1,1499992.0,10.488088481701515,5.916079783099616,6,1,White,2.0
20100112090733,40,1,2,2010,4,2010-01-13,1,5749978.0,4.47213595499958,6.708203932499369,34,1,White,4.0
20100112090734,36,2,3,2010,1,2010-01-17,1,,0.0,8.366600265340756,6,1,White,1.0
20100112090741,53,2,1,2010,7,2010-01-23,1,1950000.0,0.0,8.94427190999916,36,1,White,3.0
20100112090743,34,2,2,2010,1,2010-01-03,1,1071720.0,15.165750888103101,9.486832980505138,27,1,White,3.0
20100112090752,39,1,2,2010,7,2010-01-23,1,1144000.0,0.0,0.0,13,1,White,1.0
20100112090762,50,2,1,2010,5,2010-01-14,1,3014986.0,2.449489742783178,8.48528137423857,54,2,White,3.0
20100112090806,49,1,1,2010,5,2010-01-07,1,2727920.0,0.0,13.416407864998739,19,2,White,3.0
20100112090809,52,2,3,2010,7,2010-01-09,0,0.0,7.745966692414834,18.973665961010276,6,1,White,2.0
20100112090814,43,2,3,2010,1,2010-01-17,1,359996.0,0.0,14.89966442575134,13,1,Black,5.0
20100112090815,31,1,4,2010,7,2010-01-30,1,842400.0,0.0,0.0,27,2,White,1.0
20100112090819,39,2,2,2010,7,2010-01-16,1,390000.0,9.486832980505138,14.933184523068078,41,1,White,4.0
20100112090838,27,2,1,2010,6,2010-01-08,0,0.0,12.649110640673518,8.660254037844387,21,1,White,1.0
20100112090848,35,2,3,2010,6,2010-01-22,0,0.0,15.874507866387544,15.198684153570664,34,1,White,3.0
20100112090850,32,2,2,2010,5,2010-01-07,1,1456000.0,3.872983346207417,5.916079783099616,25,1,White,2.0
20100112090852,49,1,1,2010,1,2010-01-24,1,2699996.0,5.477225575051661,11.832159566199232,48,1,Black,
20100112090869,46,2,2,2010,7,2010-01-30,1,1071668.0,0.0,9.591663046625438,47,1,White,4.0
20100112090872,30,1,2,2010,1,2010-01-24,1,2210000.0,15.968719422671311,0.0,12,1,White,
20100112090881,45,1,1,2010,2,2010-01-04,1,2080000.0,0.0,7.745966692414834,17,1,White,3.0
20100112090884,45,2,1,2010,1,2010-01-03,0,0.0,0.0,11.832159566199232,21,1,Asian,3.0
20100112090889,45,1,6,2010,2,2010-01-18,1,,16.431676725154983,0.0,42,1,White,3.0
20100112090893,38,1,1,2010,7,2010-01-02,1,2519998.0,3.872983346207417,0.0,6,1,White,1.0
20100112090897,38,1,2,2010,7,2010-01-16,1,2249988.0,0.0,0.0,29,1,White,
20100112090899,53,1,2,2010,4,2010-01-06,1,,2.23606797749979,10.246950765959598,42,1,White,2.0
20100112090907,31,2,3,2010,2,2010-01-04,0,0.0,15.165750888103101,11.61895003862225,18,1,White,3.0
20100112090914,34,2,3,2010,1,2010-01-03,1,1404000.0,0.0,20.615528128088304,20,2,White,2.0
20100112090920,41,2,1,2010,4,2010-01-13,0,0.0,5.477225575051661,19.157244060668017,44,1,White,3.0
20100112090940,45,2,1,2010,4,2010-01-20,1,1972880.0,3.1622776601683795,12.922847983320086,10,1,Black,3.0
20100112090945,36,2,2,2010,1,2010-01-31,1,436800.0,5.477225575051661,16.431676725154983,37,1,White,3.0
20100112090953,43,2,1,2010,1,2010-01-10,1,6999980.0,0.0,11.180339887498949,42,1,White,5.0
20100112090963,38,2,2,2010,2,2010-01-04,1,1333800.0,3.872983346207417,8.660254037844387,15,1,White,3.0
20100112090969,32,2,4,2010,1,2010-01-03,0,0.0,12.84523257866513,10.246950765959598,49,1,White,3.0
20100112090976,42,2,2,2010,3,2010-01-19,0,0.0,13.038404810405298,7.416198487095663,37,2,White,3.0
20100112090996,41,2,2,2010,7,2010-01-09,1,910000.0,0.0,18.2208671582886,1,1,White,2.0
20100112091000,43,1,2,2010,1,2010-01-03,1,959998.0,0.0,0.0,53,1,Asian,3.0
20100112091012,34,1,3,2010,7,2010-01-23,1,1939600.0,3.872983346207417,11.61895003862225,34,1,White,3.0
20100112091014,41,1,3,2010,2,2010-01-18,1,,7.745966692414834,2.23606797749979,22,1,White,4.0
20100112091015,27,1,2,2010,1,2010-01-31,1,773500.0,0.0,14.491376746189438,37,1,White,2.0
20100112091024,42,1,3,2010,1,2010-01-17,1,863200.0,0.0,9.219544457292887,35,1,White,1.0
20100112091037,45,1,1,2010,6,2010-01-01,1,845000.0,0.0,9.486832980505138,42,1,White,2.0
20100112091041,21,1,1,2010,6,2010-01-29,1,2210000.0,6.0,7.0710678118654755,20,1,White,2.0
20100112091077,44,2,2,2010,7,2010-01-16,0,0.0,6.708203932499369,15.362291495737216,12,1,White,4.0
20100112091082,41,1,1,2010,2,2010-01-18,1,1820000.0,0.0,4.47213595499958,55,1,White,5.0
20100112091095,55,1,1,2010,6,2010-01-01,1,2249988.0,0.0,24.186773244895647,22,1,White,2.0
20100112091096,43,1,2,2010,4,2010-01-06,1,1599988.0,8.660254037844387,0.0,6,1,White,3.0
20100112091126,32,2,4,2010,1,2010-01-10,1,2080000.0,7.745966692414834,15.491933384829668,17,1,White,
20100112091128,50,2,1,2010,1,2010-01-17,1,2597400.0,0.0,14.491376746189438,23,2,White,3.0
20100112091131,34,1,2,2010,3,2010-01-12,1,2600000.0,5.916079783099616,0.0,47,1,Asian,3.0
20100112091151,31,2,2,2010,7,2010-01-02,1,1999998.0,8.888194417315589,7.745966692414834,42,1,White,2.0
20100112091155,33,2,1,2010,5,2010-01-21,1,1130220.0,11.575836902790225,12.041594578792296,41,1,White,3.0
20100112091158,33,2,2,2010,7,2010-01-02,1,1456000.0,9.486832980505138,13.96424004376894,47,1,White,5.0
20100112091159,26,2,2,2010,5,2010-01-14,0,0.0,7.745966692414834,13.96424004376894,56,1,White,2.0
20100112091165,36,2,1,2010,7,2010-01-23,1,5249998.0,8.94427190999916,21.563858652847824,42,1,White,5.0
20100112091171,52,2,1,2010,7,2010-01-09,1,1849978.0,0.0,13.96424004376894,18,1,White,4.0
20100112091177,30,1,1,2010,7,2010-01-23,1,1524640.0,0.0,5.477225575051661,12,1,White,2.0
20100112091187,39,2,3,2010,7,2010-01-30,0,0.0,9.486832980505138,9.486832980505138,6,1,White,2.0
20100112091188,48,2,2,2010,2,2010-01-04,1,1456000.0,2.8284271247461903,13.601470508735444,55,1,White,3.0
20100112091198,33,2,2,2010,1,2010-01-17,1,1560000.0,10.954451150103322,2.23606797749979,6,1,White,
20100112091206,27,2,1,2010,3,2010-01-12,1,1040000.0,11.832159566199232,0.0,18,1,White,4.0
20100112091209,53,1,1,2010,1,2010-01-24,1,1950000.0,0.0,5.477225575051661,29,1,White,4.0
20100112091220,38,2,1,2010,7,2010-01-02,1,,10.246950765959598,15.329709716755891,46,1,White,2.0
20100112091223,34,2,1,2010,6,2010-01-22,1,1040000.0,5.477225575051661,0.0,22,3,Black,3.0
20100112091235,44,1,1,2010,4,2010-01-13,1,3349996.0,9.486832980505138,0.0,25,2,White,3.0
20100112091242,37,2,2,2010,1,2010-01-17,1,1196000.0,0.0,10.954451150103322,55,2,White,3.0
20100112091247,53,2,2,2010,1,2010-01-10,0,0.0,0.0,9.486832980505138,6,1,Other,1.0
20100112091252,29,2,2,2010,1,2010-01-03,1,1323738.0,7.0710678118654755,18.027756377319946,12,1,White,1.0
20100112091254,46,2,1,2010,7,2010-01-09,1,3148600.0,0.0,15.0,51,1,White,
20100112091261,57,1,1,2010,2,2010-01-11,1,1799980.0,0.0,3.872983346207417,29,1,White,3.0
20100112091262,37,2,1,2010,7,2010-01-02,1,721500.0,1.4142135623730951,20.493901531919196,41,1,Other,2.0
20100112091266,41,1,1,2010,1,2010-01-10,1,1912560.0,0.0,13.711309200802088,16,2,White,2.0
20100112091270,36,1,2,2010,1,2010-01-17,1,1950000.0,0.0,10.954451150103322,25,1,Black,3.0
20100112091275,34,1,1,2010,1,2010-01-31,1,565500.0,1.0,0.0,34,1,White,1.0
20100112091276,40,1,1,2010,1,2010-01-10,1,3499990.0,7.745966692414834,12.24744871391589,6,1,White,3.0
20100112091297,46,2,3,2010,4,2010-01-06,0,0.0,0.0,20.37154878746336,6,1,White,1.0
20100112091302,46,2,1,2010,5,2010-01-07,1,1820000.0,12.449899597988733,9.746794344808963,25,1,Asian,3.0
20100112091303,50,1,2,2010,5,2010-01-28,1,,2.449489742783178,3.872983346207417,8,1,White,5.0
20100112091331,47,2,1,2010,1,2010-01-10,1,2474992.0,3.872983346207417,13.784048752090222,6,1,White,4.0
20100112091332,56,2,1,2010,6,2010-01-22,1,2159976.0,0.0,5.477225575051661,29,1,White,
20100112091333,34,2,3,2010,1,2010-01-03,1,2149992.0,10.954451150103322,13.038404810405298,48,2,White,3.0
20100112091335,42,1,2,2010,1,2010-01-24,1,3049982.0,0.0,0.0,39,1,White,4.0
20100112091341,37,2,2,2010,1,2010-01-10,1,1300000.0,6.855654600401044,5.477225575051661,22,1,White,3.0
20100112091342,33,2,4,2010,4,2010-01-06,1,575900.0,16.73320053068151,14.832396974191326,48,2,White,1.0
20100112091347,49,2,3,2010,7,2010-01-30,1,7499986.0,0.0,16.278820596099706,9,1,White,5.0
20100112091354,47,1,2,2010,1,2010-01-24,1,4249986.0,0.0,7.745966692414834,39,1,Asian,4.0
20100112091365,22,1,1,2010,2,2010-01-18,1,936000.0,0.0,6.708203932499369,37,1,White,2.0
20100112091369,55,1,3,2010,5,2010-01-14,1,7099976.0,9.486832980505138,4.47213595499958,34,1,White,5.0
20100112091371,35,1,2,2010,7,2010-01-23,1,4290000.0,0.0,0.0,36,1,Black,3.0
20100112091376,49,2,1,2010,4,2010-01-06,1,2849990.0,2.23606797749979,10.488088481701515,39,1,Black,4.0
20100112091388,32,1,1,2010,5,2010-01-07,1,2999984.0,9.746794344808963,9.486832980505138,55,2,White,3.0
20100112091390,41,2,1,2010,1,2010-01-17,1,1747200.0,0.0,15.0,27,1,White,3.0
20100112091394,31,1,2,2010,7,2010-01-09,1,2600000.0,3.872983346207417,0.0,16,2,White,
20100112091396,41,2,2,2010,1,2010-01-03,1,6500000.0,12.449899597988733,15.165750888103101,25,2,White,5.0
20100112091406,49,2,2,2010,7,2010-01-23,1,717600.0,0.0,0.0,34,1,White,
20100112091414,42,2,2,2010,5,2010-01-28,1,2080000.0,0.0,10.246950765959598,36,1,White,4.0
20100112091423,37,1,1,2010,7,2010-01-23,1,1999998.0,13.416407864998739,7.745966692414834,40,1,White,3.0
20100112091424,37,1,1,2010,4,2010-01-06,1,3479996.0,0.0,0.0,6,1,White,2.0
20100112091445,28,2,1,2010,3,2010-01-19,1,3399994.0,20.97617696340303,7.745966692414834,48,1,White,4.0
20100112091446,60,2,1,2010,3,2010-01-12,1,7499986.0,0.0,0.0,6,1,White,5.0
20100112091449,42,1,3,2010,5,2010-01-14,1,5200000.0,3.1622776601683795,0.0,17,2,White,4.0
